# http://127.0.0.1:6568 --workers 5 --loaded-duration-minutes 5 --output-dir run --overwrite-output
# {"appUrl":"http://127.0.0.1:6568","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"run","overwriteOutput":true,"recordingPath":"recording.log","workers":5}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836263183,53,
6,1,1,WS_SEND_START,1675836263183,53,
6,1,1,WS_SEND_END,1675836263183,53,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836263183,54,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836268091,54,
6,1,1,WS_SEND_START,1675836268091,54,
6,1,1,WS_SEND_END,1675836268091,54,
6,1,1,WS_RECV_START,1675836268091,55,
6,1,1,WS_RECV_END,1675836277501,55,
6,1,1,WS_RECV_START,1675836277501,56,
6,1,1,WS_RECV_END,1675836277552,56,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836277552,57,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836277584,57,
6,1,1,WS_SEND_START,1675836277584,57,
6,1,1,WS_SEND_END,1675836277584,57,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836277584,58,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836278747,58,
6,1,1,WS_SEND_START,1675836278747,58,
6,1,1,WS_SEND_END,1675836278747,58,
6,1,1,WS_RECV_START,1675836278747,59,
6,1,1,WS_RECV_END,1675836296813,59,
6,1,1,WS_RECV_START,1675836296813,60,
6,1,1,WS_RECV_END,1675836298439,60,
6,1,1,WS_RECV_START,1675836298439,61,
6,1,1,WS_RECV_END,1675836298440,61,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298440,62,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298449,62,
6,1,1,WS_SEND_START,1675836298449,62,
6,1,1,WS_SEND_END,1675836298449,62,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298449,63,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298464,63,
6,1,1,WS_SEND_START,1675836298464,63,
6,1,1,WS_SEND_END,1675836298464,63,
6,1,1,WS_RECV_START,1675836298464,64,
6,1,1,WS_RECV_END,1675836298464,64,
6,1,1,WS_RECV_START,1675836298464,65,
6,1,1,WS_RECV_END,1675836298464,65,
6,1,1,WS_RECV_START,1675836298464,66,
6,1,1,WS_RECV_END,1675836298464,66,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298464,67,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298479,67,
6,1,1,WS_SEND_START,1675836298479,67,
6,1,1,WS_SEND_END,1675836298479,67,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298479,68,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298494,68,
6,1,1,WS_SEND_START,1675836298494,68,
6,1,1,WS_SEND_END,1675836298494,68,
6,1,1,WS_RECV_START,1675836298494,69,
6,1,1,WS_RECV_END,1675836298494,69,
6,1,1,WS_SEND_START,1675836298494,70,
6,1,1,WS_SEND_END,1675836298494,70,
6,1,1,WS_RECV_START,1675836298494,71,
6,1,1,WS_RECV_END,1675836298494,71,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298494,72,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836298510,72,
6,1,1,WS_SEND_START,1675836298510,72,
6,1,1,WS_SEND_END,1675836298510,72,
6,1,1,WS_RECV_START,1675836298510,73,
6,1,1,WS_RECV_END,1675836298510,73,
6,1,1,WS_RECV_START,1675836298510,74,
6,1,1,WS_RECV_END,1675836298510,74,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836298510,75,
